;mapped_veh_id;timestamps_UTC;lat;lon;RS_E_InAirTemp_PC1;RS_E_InAirTemp_PC2;RS_E_OilPress_PC1;RS_E_OilPress_PC2;RS_E_RPM_PC1;RS_E_RPM_PC2;RS_E_WatTemp_PC1;RS_E_WatTemp_PC2;RS_T_OilTemp_PC1;RS_T_OilTemp_PC2
0;181;2023-08-01 03:44:12;50.7698183;3.8721144;27.0;23.0;255.0;238.0;794.0;801.0;83.0;81.0;76.0;77.0
1;143;2023-08-01 06:36:29;51.0399934;3.6934285;33.0;32.0;272.0;324.0;802.0;804.0;78.0;78.0;73.0;74.0
2;183;2023-08-24 06:53:54;50.7422026;3.6020347;31.0;33.0;234.0;182.0;799.0;802.0;82.0;82.0;85.0;87.0
3;177;2023-08-01 13:53:38;50.9309143;5.3271318;35.0;38.0;220.0;244.0;794.0;801.0;77.0;81.0;78.0;82.0
4;143;2023-08-24 07:02:30;51.1807725;3.5752586;41.0;34.0;227.0;282.0;806.0;800.0;85.0;78.0;82.0;79.0
5;121;2023-08-24 07:06:16;50.4042403;4.4383294;40.0;41.0;220.0;210.0;798.0;804.0;87.0;87.0;85.0;84.0
6;136;2023-08-24 07:20:23;51.1804417;4.8269909;38.0;34.0;213.0;282.0;830.0;857.0;82.0;82.0;81.0;83.0
7;172;2023-08-24 07:34:24;51.066767;5.2297842;43.0;39.0;175.0;265.0;802.0;898.0;85.0;82.0;88.0;88.0
8;181;2023-08-24 07:34:37;51.2156782;5.4250923;48.0;41.0;420.0;348.0;1497.0;1498.0;84.0;87.0;82.0;89.0
9;180;2023-08-01 00:49:41;51.0155494;3.7747119;27.0;22.0;317.0;320.0;801.0;802.0;72.0;70.0;62.0;62.0
10;151;2023-08-01 00:59:53;51.1908711;5.1144285;26.0;30.0;276.0;255.0;802.0;790.0;62.0;80.0;61.0;81.0
11;151;2023-08-01 01:31:49;51.1907831;5.1137907;25.0;31.0;279.0;269.0;803.0;803.0;63.0;80.0;62.0;82.0
12;180;2023-08-24 08:25:56;51.0397035;3.6947105;35.0;37.0;293.0;282.0;799.0;807.0;77.0;78.0;74.0;77.0
13;128;2023-08-01 02:17:44;50.9360408;5.313053;31.0;25.0;251.0;365.0;798.0;800.0;78.0;43.0;74.0;49.0
14;182;2023-08-24 08:35:26;51.0404063;3.692978;31.0;39.0;203.0;210.0;800.0;803.0;78.0;75.0;76.0;76.0
15;194;2023-08-24 09:13:46;51.16921105;3.59218705;43.0;41.5;170.5;196.0;799.0;803.0;86.0;90.0;77.5;87.0
